comment_phrase,comment_sentiment,clean_text,encoded_label
ඒක හොද ක්‍රියාවක් වුණත් සොරකමට අනුබල දීමක් නිසා අනුමත කරන්න පුලුවන්ද?,NEGATIVE,ඒක හොද ක්රියාවක් වුණත් සොරකමට අනුබල දීමක් නිසා අනුමත කරන්න පුලුවන්ද,0
දීය යුතු දඩුවම ලබු ගෙඩියේ අයිතිකරු විසින් ලබා දී ඇත. සොරාගත් අයට මෙය මතක ඇති තාක් කල් මානසික නිදහසක් නැහැ.,POSITIVE,දීය යුතු දඩුවම ලබු ගෙඩියේ අයිතිකරු විසින් ලබා දී ඇත සොරාගත් අයට මෙය මතක ඇති තාක් කල් මානසික නිදහසක් නැහැ,2
මටත් ආසයි ලබු කිරිබත් කන්න.,POSITIVE,මටත් ආසයි ලබු කිරිබත් කන්න,2
"උපුල්, පහන්, ඔබලාට ස්තූතියි.",POSITIVE,උපුල් පහන් ඔබලාට ස්තූතියි,2
ලබු කිරිබත් වලට වඩා රසයි ලබු කොළෙන් හදන එක්තරා කෑමක්.,POSITIVE,ලබු කිරිබත් වලට වඩා රසයි ලබු කොළෙන් හදන එක්තරා කෑමක්,2
ලබු ඕනෑවට වඩා කෑමෙන් ශරීරයේ ඇට මෙලෙක් වෙනවා. බොහොම පරිස්සමින් හොදේ.....,NEGATIVE,ලබු ඕනෑවට වඩා කෑමෙන් ශරීරයේ ඇට මෙලෙක් වෙනවා බොහොම පරිස්සමින් හොදේ,0
පහන්ගේ කතාවට මට මනුතාපය මතක් වුණා.,NEUTRAL,පහන්ගේ කතාවට මට මනුතාපය මතක් වුණා,1
අනේ හොදයි. ඒ වුණාට පොල් මුඩ්ඩ අමතක වෙලා.,NEUTRAL,අනේ හොදයි ඒ වුණාට පොල් මුඩ්ඩ අමතක වෙලා,1
ඒ මනුෂ්‍යයා හොඳ කෙනෙක්.. හරිදේ ඒකයි... පින්වැඩි කමට තව තව ලබු වැඩියෙන් හැදෙයි...මේකෙන් හොරාත් හැදෙයි. ලබු අයිතිකරුට දෙවියන්ගේ ආශිර්වාදය ලැබේවා..! දෙන තරමට තමයි ලැබෙන්නේ..,POSITIVE,ඒ මනුෂ්යයා හොඳ කෙනෙක් හරිදේ ඒකයි පින්වැඩි කමට තව තව ලබු වැඩියෙන් හැදෙයිමේකෙන් හොරාත් හැදෙයි ලබු අයිතිකරුට දෙවියන්ගේ ආශිර්වාදය ලැබේවා දෙන තරමට තමයි ලැබෙන්නේ,2
හොරු බෝ කරන කෙනෙක්.,NEGATIVE,හොරු බෝ කරන කෙනෙක්,0
නිමල් වගේ අය තමයි පොල් ගෙඩියටත් උසාවි යන්නේ... මිනිසුන් ගැන ඔයිට වඩා හිතන්න ඕන. අපි කවුරුත් යනකොට මොනවත් අරන් යන්නේ නෑ. ඉන්නකං අනිත් අයට උපකාර කරන්න ඕන. මේක ආදර්ශයට ගත යුතු ක්‍රියාවක්...,POSITIVE,නිමල් වගේ අය තමයි පොල් ගෙඩියටත් උසාවි යන්නේ මිනිසුන් ගැන ඔයිට වඩා හිතන්න ඕන අපි කවුරුත් යනකොට මොනවත් අරන් යන්නේ නෑ ඉන්නකං අනිත් අයට උපකාර කරන්න ඕන මේක ආදර්ශයට ගත යුතු ක්රියාවක්,2
නෑ නිමල් මහත්තයා.. එයා අයිත් හොරකම් කරන එකක් නැ... එයාට නියම දඬුවම තමයි දුන්නේ. ගහන බනින ක්‍රමයට වඩා ඒක හොඳයි...,POSITIVE,නෑ නිමල් මහත්තයා එයා අයිත් හොරකම් කරන එකක් නැ එයාට නියම දඬුවම තමයි දුන්නේ ගහන බනින ක්රමයට වඩා ඒක හොඳයි,2
ඉවසීමෙන් සංයමයෙන් වැඩ කළොත් යහපත් සමාජයක් ගොඩනගන්න පුලුවන්. නැත්නම් උසාවි පොලිසි ගාණේ ගිහින් තමයි ගැටලු විසදාගන්න වෙන්නේ.,NEUTRAL,ඉවසීමෙන් සංයමයෙන් වැඩ කළොත් යහපත් සමාජයක් ගොඩනගන්න පුලුවන් නැත්නම් උසාවි පොලිසි ගාණේ ගිහින් තමයි ගැටලු විසදාගන්න වෙන්නේ,1
"ගෙවතු හිමියාට, ඔබ ආදර්ශවත් ගොවිමහතෙකි. කෑ දේ ගදයි, දුන් දේ සුවදයි...! බේබදු සොරාට....... මනුෂ්‍යයෙක් ලෙස හැසිරෙව! අඩුම තරමේ පොහොයටවත්.",NEUTRAL,ගෙවතු හිමියාට ඔබ ආදර්ශවත් ගොවිමහතෙකි කෑ දේ ගදයි දුන් දේ සුවදයි බේබදු සොරාට මනුෂ්යයෙක් ලෙස හැසිරෙව අඩුම තරමේ පොහොයටවත්,1
කාටත් හොද වටිනා ආදර්ශයක්,POSITIVE,කාටත් හොද වටිනා ආදර්ශයක්,2
හිත හොද වැඩි උනාමත් ප්‍රශ්න,NEGATIVE,හිත හොද වැඩි උනාමත් ප්රශ්න,0
අර පොල් සොරකම් කල පුවතට හාත් පසින් විරුද්ද වැඩක් මේ පුවතින් තියෙන්නේ,NEUTRAL,අර පොල් සොරකම් කල පුවතට හාත් පසින් විරුද්ද වැඩක් මේ පුවතින් තියෙන්නේ,1
"අකුරස්ස පැත්තෙ ගමක මහත්තයෙකුට රට රැකියාවක් ලැබිලා ගියාලු. ගිය දවසෙ ඉදලා මහත්තයාගෙ යාලුවාගෙන් නෝනට අයුතු යෝජනා එනවලු. මේකට විසදුමක් හොයලා නොලැබුන තැන නෝනා ඒ යාලුවටම කතා කරලා ඇහුවලු ""මෙහෙම වනචරයෙක්ගෙන් මට කරදරයි ඒකට මොනවද කරන්නේ"" කියලා. මම කියපු දේ තේරුනාද මන්දා?",NEUTRAL,අකුරස්ස පැත්තෙ ගමක මහත්තයෙකුට රට රැකියාවක් ලැබිලා ගියාලු ගිය දවසෙ ඉදලා මහත්තයාගෙ යාලුවාගෙන් නෝනට අයුතු යෝජනා එනවලු මේකට විසදුමක් හොයලා නොලැබුන තැන නෝනා ඒ යාලුවටම කතා කරලා ඇහුවලු මෙහෙම වනචරයෙක්ගෙන් මට කරදරයි ඒකට මොනවද කරන්නේ කියලා මම කියපු දේ තේරුනාද මන්දා,1
ඉතින් ඒ මනුස්සයාපුදුම මනුස්සයෙක්,NEUTRAL,ඉතින් ඒ මනුස්සයාපුදුම මනුස්සයෙක්,1
ජනපතිතුමාගේ තවත් හොද වැඩක්.,POSITIVE,ජනපතිතුමාගේ තවත් හොද වැඩක්,2
ගොවියට මේ ගමන අවුරුදු නැතිවුණත් ණය බරින් මදක් හෝ නිදහස් වීමට මේ කළ උපකාරය බොහෝ වටිනවා.,POSITIVE,ගොවියට මේ ගමන අවුරුදු නැතිවුණත් ණය බරින් මදක් හෝ නිදහස් වීමට මේ කළ උපකාරය බොහෝ වටිනවා,2
මේ සදහා නිත්‍ය ක්‍රමවේදයක් යොදන්න.,NEUTRAL,මේ සදහා නිත්ය ක්රමවේදයක් යොදන්න,1
"මම කියන්නද තවත් විසදුමක් , දුර බලන්නේ නැතුව ගෙන්න කොළඹ, ගෙනල්ලා කොහේ හරි ඉදගෙන විකුනන්න, මාව විහිලුවකට ගන්න එපා",NEUTRAL,මම කියන්නද තවත් විසදුමක් දුර බලන්නේ නැතුව ගෙන්න කොළඹ ගෙනල්ලා කොහේ හරි ඉදගෙන විකුනන්න මාව විහිලුවකට ගන්න එපා,1
කීයකට හරි විකුණන එකනම් වටිනවා,POSITIVE,කීයකට හරි විකුණන එකනම් වටිනවා,2
මේක තාවකාලික පැලැස්තරයක් නේද?,NEGATIVE,මේක තාවකාලික පැලැස්තරයක් නේද,0
අපේ ගොවියො තවමත් මට්ටු වෙලා නැහැ.,NEGATIVE,අපේ ගොවියො තවමත් මට්ටු වෙලා නැහැ,0
මිට වඩා වැඩියෙන් විකුනන්න බැරිද,NEUTRAL,මිට වඩා වැඩියෙන් විකුනන්න බැරිද,1
රජය මේවා අරගෙන මොනවා කරන්නද දන්නේ නැහැ හදන්නේ. මේ සදහා ක්‍රමවත් වැඩපිලිවෙලක් අවශ්‍යයි.,NEUTRAL,රජය මේවා අරගෙන මොනවා කරන්නද දන්නේ නැහැ හදන්නේ මේ සදහා ක්රමවත් වැඩපිලිවෙලක් අවශ්යයි,1
ඒ අසරණ ජනතාව තවත් අසරණ නොකර මේ කල වැඩේ හොදයි,POSITIVE,ඒ අසරණ ජනතාව තවත් අසරණ නොකර මේ කල වැඩේ හොදයි,2
"අපොන්සු, ගොවියන්ට මේ ප්‍රශ්න එන්නේ වැඩිපුර අස්වැන්න නෙලන කාලයටයි. අනිත් කාලවලට මේ ප්‍රශ්ණ නැහැ.",NEUTRAL,අපොන්සු ගොවියන්ට මේ ප්රශ්න එන්නේ වැඩිපුර අස්වැන්න නෙලන කාලයටයි අනිත් කාලවලට මේ ප්රශ්ණ නැහැ,1
විසිකරපුවට වන්දියක් නැතිද? දඹුල්ලේ ඉන්න අතරමැදි ගැනුම්කාර චන්ඩි නහර ගණන් කාරයින්ගේ න් ගොවියා බේරා දෙන්න .දිගටම මේ වැඩපිළිවෙල ගෙනියන්න .ඔබට පින් සිද්ධ වෙනවා .,NEUTRAL,විසිකරපුවට වන්දියක් නැතිද දඹුල්ලේ ඉන්න අතරමැදි ගැනුම්කාර චන්ඩි නහර ගණන් කාරයින්ගේ න් ගොවියා බේරා දෙන්න දිගටම මේ වැඩපිළිවෙල ගෙනියන්න ඔබට පින් සිද්ධ වෙනවා,1
හැමදේකටම අද ජනාධිපතිතුමාට මැදිහත්වෙලා ප්‍රශ්න විසදන්න වෙලා. රජයේ මුදල් කෝටි ගානක් වියදමි කරලා අමාත්‍යංශ පවත්වාගෙන යාම විහිළුවක්.,NEGATIVE,හැමදේකටම අද ජනාධිපතිතුමාට මැදිහත්වෙලා ප්රශ්න විසදන්න වෙලා රජයේ මුදල් කෝටි ගානක් වියදමි කරලා අමාත්යංශ පවත්වාගෙන යාම විහිළුවක්,0
මේ වැඩපිලිවෙල දිගටම කරගෙන යනවා නමි හොදයි.,POSITIVE,මේ වැඩපිලිවෙල දිගටම කරගෙන යනවා නමි හොදයි,2
ෙම් වැඩේ සතියක් කරයි. පස්සේ නවත්තයි. අන්තිමට ඉතින් අහිංසක මිනිස්සුන්ට වේනනේ අතරමැදියෝ නිසා වැඩිගානට විකුනන්නයි.,NEGATIVE,ෙම් වැඩේ සතියක් කරයි පස්සේ නවත්තයි අන්තිමට ඉතින් අහිංසක මිනිස්සුන්ට වේනනේ අතරමැදියෝ නිසා වැඩිගානට විකුනන්නයි,0
මෙහෙම අරගෙන මොකද කරන්නේ? කොළඹට අඩුවට දෙනවද? නැත්නම් කුනුවෙන්න අරිනවද?,NEGATIVE,මෙහෙම අරගෙන මොකද කරන්නේ කොළඹට අඩුවට දෙනවද නැත්නම් කුනුවෙන්න අරිනවද,0
ඇමතිවරුන් නොදන්නා කමද? තේරුම් ගන්න බැරි නිසාද ජනාධිපතිතුමා නියම කරනකම් බලාගෙන හිටියේ.,NEUTRAL,ඇමතිවරුන් නොදන්නා කමද තේරුම් ගන්න බැරි නිසාද ජනාධිපතිතුමා නියම කරනකම් බලාගෙන හිටියේ,1
රජය ලකුනු දාගන්න වැඩ නොකර ඉදිරියේදීවත් මෙවැනි දේවල් නොවීමට සුදුසු වැඩ පිලිවෙලක් සකස් කරන්න. අද රටේ මිනිසුන් කොතරමි අසීරුතාවයකින්ද ජීවත් වෙන්නේ.,NEGATIVE,රජය ලකුනු දාගන්න වැඩ නොකර ඉදිරියේදීවත් මෙවැනි දේවල් නොවීමට සුදුසු වැඩ පිලිවෙලක් සකස් කරන්න අද රටේ මිනිසුන් කොතරමි අසීරුතාවයකින්ද ජීවත් වෙන්නේ,0
අනේ මේ එළවළු අපිට කොළඹට ගෙනත් දෙන්න.,NEUTRAL,අනේ මේ එළවළු අපිට කොළඹට ගෙනත් දෙන්න,1
දැයට කිරුළ වැඩක් නැහැ. අහිංසක මිනිස්සුන්ට පිහිටවෙන්න.,NEUTRAL,දැයට කිරුළ වැඩක් නැහැ අහිංසක මිනිස්සුන්ට පිහිටවෙන්න,1
මේ මිනිස්සු මේ දේවල් වගා කරන්න කොයිතරම් ලොකු දුකක් විදින්න ඇත්ද? අවසානයේ අස්වැන්න දිහා බලාගෙන හූල්ලන්න වෙලා. කරපු වියදම කොයිතරම් අපරාදෙයක්ද. මේ රටට මේ දේවල වටිනාකමක් නැද්ද? ජනාධිපතිම මේ දේවල් වලට මැදිහත් වෙන්න අවශ්‍ය නම් ඇමතිලා මොකටද? අපේ රට මුල ඉදන්ම ප්‍රතිසංස්කරණය විය යුතුයි.,NEGATIVE,මේ මිනිස්සු මේ දේවල් වගා කරන්න කොයිතරම් ලොකු දුකක් විදින්න ඇත්ද අවසානයේ අස්වැන්න දිහා බලාගෙන හූල්ලන්න වෙලා කරපු වියදම කොයිතරම් අපරාදෙයක්ද මේ රටට මේ දේවල වටිනාකමක් නැද්ද ජනාධිපතිම මේ දේවල් වලට මැදිහත් වෙන්න අවශ්ය නම් ඇමතිලා මොකටද අපේ රට මුල ඉදන්ම ප්රතිසංස්කරණය විය යුතුයි,0
විසි කරන්න පෙර ජනාධිපතිතුමාව දැනුම්වත් කරන්න තිබුනා.,NEUTRAL,විසි කරන්න පෙර ජනාධිපතිතුමාව දැනුම්වත් කරන්න තිබුනා,1
මෙවැනි තීන්දුවක් විෂය බාර ඇමතිතුමාට ගන්න බැරි වුනේ ඇයි. මින් ඉදිරියටත් මේ ක්‍රමය අනුගමනය කිරීම ඉතා වැදගත්.,NEUTRAL,මෙවැනි තීන්දුවක් විෂය බාර ඇමතිතුමාට ගන්න බැරි වුනේ ඇයි මින් ඉදිරියටත් මේ ක්රමය අනුගමනය කිරීම ඉතා වැදගත්,1
මම නිකම්ද කියන්නේ ලංකාවේ තියෙන්නේ මාධ්‍ය සංදර්ශන කියලා.,NEUTRAL,මම නිකම්ද කියන්නේ ලංකාවේ තියෙන්නේ මාධ්ය සංදර්ශන කියලා,1
අර මධ්‍යසාර කන්ටේනර් එක ගැන දැනගෙන නැතුවෙයි.,NEUTRAL,අර මධ්යසාර කන්ටේනර් එක ගැන දැනගෙන නැතුවෙයි,1
අපි වවමු. අපි වැනසෙමු.,NEGATIVE,අපි වවමු අපි වැනසෙමු,0
දැන් ඉතින් බුදු බව පතලා ප්‍රතිචාර දායි,NEGATIVE,දැන් ඉතින් බුදු බව පතලා ප්රතිචාර දායි,0
රජය එළවලු මිළයට අරන් පන්සල් වලට බෙදා දෙන්න අදහස් කරනවා වෙන්නත් පුළුවන්.,NEUTRAL,රජය එළවලු මිළයට අරන් පන්සල් වලට බෙදා දෙන්න අදහස් කරනවා වෙන්නත් පුළුවන්,1
අඩන්නම ඕනෑලු කිරි එරෙන්න.,NEUTRAL,අඩන්නම ඕනෑලු කිරි එරෙන්න,1
විනාශ කරන්න එපා,NEUTRAL,විනාශ කරන්න එපා,1
ඒ අහිංසක මිනිසුන්ට පිහිට වෙන්න,NEUTRAL,ඒ අහිංසක මිනිසුන්ට පිහිට වෙන්න,1
කිලෝ ලක්ෂයක් විසිකෙරුවට පස්සේ විසදුම් හොයන්න ඇමති කෙනෙකුයි අමාත්‍යංශයකුයි අවශ්‍ය නැහැ.,NEGATIVE,කිලෝ ලක්ෂයක් විසිකෙරුවට පස්සේ විසදුම් හොයන්න ඇමති කෙනෙකුයි අමාත්යංශයකුයි අවශ්ය නැහැ,0
පිටරටවල ඕනෑතරම් ඉල්ලුම තියෙනවා හොඳ එළවළු වලට. එම්බසි වලට පුළුවන් යමක් කරන්න.,NEUTRAL,පිටරටවල ඕනෑතරම් ඉල්ලුම තියෙනවා හොඳ එළවළු වලට එම්බසි වලට පුළුවන් යමක් කරන්න,1
පසුගිය දිනවල කඩ කඩන්න ගහපු බැකෝ පහරවල් වලට ගොඩනැගිලි කණු බුරුල්වෙලා වෙන්න ඇති.,NEUTRAL,පසුගිය දිනවල කඩ කඩන්න ගහපු බැකෝ පහරවල් වලට ගොඩනැගිලි කණු බුරුල්වෙලා වෙන්න ඇති,1
අත්තිවාරම හරියට දාලා නැතුව ඇති .,NEUTRAL,අත්තිවාරම හරියට දාලා නැතුව ඇති,1
"ගාමිනි, කියන්ඩ දෙයක් නැත්තන් කට වහගෙන ඉන්න ඔහේ කියවන්නේ නැතුව.",NEGATIVE,ගාමිනි කියන්ඩ දෙයක් නැත්තන් කට වහගෙන ඉන්න ඔහේ කියවන්නේ නැතුව,0
අවසාන මොහොත වාගේ ගොඩනැගිලි ඇලවෙයයි නිහතමානේ.,NEUTRAL,අවසාන මොහොත වාගේ ගොඩනැගිලි ඇලවෙයයි නිහතමානේ,1
ගාමිණී වගේ තව කීපදෙනෙක් හිටියොත් ආස්චර්ය පෙන්නන්න තිබුන. කියමනක් තියෙනවනේ කට වහගෙන ඉන්නකන් මෝඩයත් නුවනක්කාරයෙක් කියලා.(නදී) .,NEUTRAL,ගාමිණී වගේ තව කීපදෙනෙක් හිටියොත් ආස්චර්ය පෙන්නන්න තිබුන කියමනක් තියෙනවනේ කට වහගෙන ඉන්නකන් මෝඩයත් නුවනක්කාරයෙක් කියලානදී,1
වසර කීයක් පැරණි ගොඩනැගිල්ලක්ද ? අනෙක් ගොඩනැගිල්ල ආරක්ෂා කර ගැනීමට පිළියම් යොදන්න.,NEUTRAL,වසර කීයක් පැරණි ගොඩනැගිල්ලක්ද අනෙක් ගොඩනැගිල්ල ආරක්ෂා කර ගැනීමට පිළියම් යොදන්න,1
මොනවා කරන්ඩද චින්දන කණ්ඩ දුන්නට මොලේ දෙන්ඩ බැනේ. ඔහේ මොනවා හරි කුරුටු ගල පිනට කාලා කොහෙන් හරි ඇහිද ගත්තු වචනයක් දෙකක් කියව කියවා උඩු බුරලනවා.,NEGATIVE,මොනවා කරන්ඩද චින්දන කණ්ඩ දුන්නට මොලේ දෙන්ඩ බැනේ ඔහේ මොනවා හරි කුරුටු ගල පිනට කාලා කොහෙන් හරි ඇහිද ගත්තු වචනයක් දෙකක් කියව කියවා උඩු බුරලනවා,0
මේ හරියේ ගොඩක්ම ගොඩනැගිලි පරණයි. මේවා ගෙන හොයල බලන්න වෙයි.,NEUTRAL,මේ හරියේ ගොඩක්ම ගොඩනැගිලි පරණයි මේවා ගෙන හොයල බලන්න වෙයි,1
අපි මේකට ශ්‍රී ලංකා පීසා කුළුන කියමු.,NEUTRAL,අපි මේකට ශ්රී ලංකා පීසා කුළුන කියමු,1
ගාමිණී බලන්න ඔලුව පොඩ්ඩක් අතගාල. මේ නිකන් උල් දෙකක් පෑදීගෙන එනවද කියලා.,NEGATIVE,ගාමිණී බලන්න ඔලුව පොඩ්ඩක් අතගාල මේ නිකන් උල් දෙකක් පෑදීගෙන එනවද කියලා,0
ඇලවුන කුළුණක් දැන් ශ්‍රී ලංකාවේ.,NEUTRAL,ඇලවුන කුළුණක් දැන් ශ්රී ලංකාවේ,1
මේක සත් මහල් ද සිව් මහල්ද? අනේ මන්දා?,NEUTRAL,මේක සත් මහල් ද සිව් මහල්ද අනේ මන්දා,1
මහජනයාගේ ආරක්ෂාව පතා පළාතකවත් පොලිස් නිලධාරියෙක් හෝ ගිනි නිවන භටයෙක් පෙනෙන්නවත් නැහැ. ඒකට බටහිර රටවල් වල.,NEGATIVE,මහජනයාගේ ආරක්ෂාව පතා පළාතකවත් පොලිස් නිලධාරියෙක් හෝ ගිනි නිවන භටයෙක් පෙනෙන්නවත් නැහැ ඒකට බටහිර රටවල් වල,0
ගාමිණී ඔයා නම් පුදුම කෙනෙක්. මොලේ කොහෙද තියෙන්නේ.,NEGATIVE,ගාමිණී ඔයා නම් පුදුම කෙනෙක් මොලේ කොහෙද තියෙන්නේ,0
"පෙන්නේ නම් ඇත්තේ මහල් පහක් පමණි හතක්‌ නැත. කෙසේ වෙතත් ගොඩනැගිලි නිසි ප්‍රමිතියකට ගොඩනැගුවේ නැති උනොත් ජීවිත හානි පවා සිදුවෙන්න පුළුවන්. බි .බි .සි යට අනුව ඉන්දියාවේ පසුගියදා එහෙම වෙලා 45 දෙනෙක් මැරිලා, එයින් 15 ක්ම ළමයි ලු.",NEUTRAL,පෙන්නේ නම් ඇත්තේ මහල් පහක් පමණි හතක් නැත කෙසේ වෙතත් ගොඩනැගිලි නිසි ප්රමිතියකට ගොඩනැගුවේ නැති උනොත් ජීවිත හානි පවා සිදුවෙන්න පුළුවන් බි බි සි යට අනුව ඉන්දියාවේ පසුගියදා එහෙම වෙලා දෙනෙක් මැරිලා එයින් ක්ම ළමයි ලු,1
ගාමිණි ගම කනවා .,NEGATIVE,ගාමිණි ගම කනවා,0
අර කට්ටියගේ සාප්පුවක් නම් ෂුවර් එකට බොදු බල සේනා එකේ වැඩක්.,NEUTRAL,අර කට්ටියගේ සාප්පුවක් නම් ෂුවර් එකට බොදු බල සේනා එකේ වැඩක්,1
මේක ආසියාවේ ඇලවෙන කුළුන කියලා සංචාරකයෝ ටිකක් ගෙන්නා ගන්න පුළුවන්නේ.,NEUTRAL,මේක ආසියාවේ ඇලවෙන කුළුන කියලා සංචාරකයෝ ටිකක් ගෙන්නා ගන්න පුළුවන්නේ,1
පෙනුමෙන් හැගෙන්නේ තවමත් ඉදිවෙමින් පවතින ගොඩනැගිල්ලක් බවයි. මෙවැනි ජනාකීර්ණ තැන්වල ගොඩනැගිලි ඉදිකිරීමේදී ප්‍රමිතිය ගැන සියයට සීයක්ම සහතික විය යුතුයි.,NEUTRAL,පෙනුමෙන් හැගෙන්නේ තවමත් ඉදිවෙමින් පවතින ගොඩනැගිල්ලක් බවයි මෙවැනි ජනාකීර්ණ තැන්වල ගොඩනැගිලි ඉදිකිරීමේදී ප්රමිතිය ගැන සියයට සීයක්ම සහතික විය යුතුයි,1
භූමිකම්පාවක්ද දන්නෙ නැහැ. දෙයියෝ සාක්කි.,NEUTRAL,භූමිකම්පාවක්ද දන්නෙ නැහැ දෙයියෝ සාක්කි,1
මුලින්ම ගැලවිලා තියෙන නිසා ඔහොමම වෙන තැනකින් උස්සලා තියමු.,NEUTRAL,මුලින්ම ගැලවිලා තියෙන නිසා ඔහොමම වෙන තැනකින් උස්සලා තියමු,1
අහවල්ලුන්ගේ කොන්ත්‍රාත් කාරයෙක්ද කොහෙද වැඩේට අත ගහලා තියෙන්නේ?ආශ්චර්යය ආශ්චර්යය...,NEGATIVE,අහවල්ලුන්ගේ කොන්ත්රාත් කාරයෙක්ද කොහෙද වැඩේට අත ගහලා තියෙන්නේආශ්චර්යය ආශ්චර්යය,0
ඇල වෙලා තියන ආකාරයට අනුව නම් හිතාගන්න අමාරුයි. මොනවා වුණත් නැවෙන්න කලින් අනෙක් ගොඩනැගිලි ගැන හිතලා තියෙනවා.,NEUTRAL,ඇල වෙලා තියන ආකාරයට අනුව නම් හිතාගන්න අමාරුයි මොනවා වුණත් නැවෙන්න කලින් අනෙක් ගොඩනැගිලි ගැන හිතලා තියෙනවා,1
මේකත් සුද්දන්ට පෙන්නලා කීයක් හරි හොයාගන්න බලමු.,NEUTRAL,මේකත් සුද්දන්ට පෙන්නලා කීයක් හරි හොයාගන්න බලමු,1
ලංකාවට ඇලවෙන කුළුණක් නැති නිසා ඕක පරිස්සම් කරමු.....,NEUTRAL,ලංකාවට ඇලවෙන කුළුණක් නැති නිසා ඕක පරිස්සම් කරමු,1
ආසියාවේ ආශ්චර්යය තමයි ඉතින්.,NEGATIVE,ආසියාවේ ආශ්චර්යය තමයි ඉතින්,0
ලංකාව තුළට ආශ්චර්යය ළගා වේ.,NEGATIVE,ලංකාව තුළට ආශ්චර්යය ළගා වේ,0
අම්මෝ ඇලවෙලා තියෙන හැටි?,NEUTRAL,අම්මෝ ඇලවෙලා තියෙන හැටි,1
ඔය පහුගිය දවස්වල රට ඇතුලට ගෙන ආපු ප්‍රමිතියෙන් අඩු සිමෙන්ති යකඩ වල ප්‍රතිඵල තමයි. තව තව දේවල් ඉස්සරහට බලන්න පුළුවන් වෙයි.,NEGATIVE,ඔය පහුගිය දවස්වල රට ඇතුලට ගෙන ආපු ප්රමිතියෙන් අඩු සිමෙන්ති යකඩ වල ප්රතිඵල තමයි තව තව දේවල් ඉස්සරහට බලන්න පුළුවන් වෙයි,0
"සමහරු ගාමිණී මහතාට මෙහි අපහාස කර ප්‍රතිචාර දැක්වීම ඉතා කණගාටුදායකය. මට වැටහෙන අයුරින් ඔහු කණු යනුවෙන් අදහස් කර ඇත්තේ උස ගොඩනැගිළි තැනීමේදී අත්තිවාරම තැනීමට පෙර පොලව යටට බස්වන කණු ""පයිල්"" විය යුතුයි. සෙලින්කෝ වැනි උස ගොඩනැගිළි තැනීමේදී ප්‍රමිතියට අනුව මෙය කළ යුතුයි. උස ගොඩනැගිළි අතර සිදුවන විශාල භූමි චලනයන් වලින් ගොඩනැගිළිවල බිත්ති පිපිරී ඉරිතලා යෑම් සිදුවේ. අවට සිදුවන තද කම්පනද උස ගොඩනැගිළි වලට ඉතා අහිතකරයි. මේ ඇලවී ඇති ගොඩනැගිළ්ලේ තට්ටු දෙකක්ද පොලවට ගිලාබැස ඇතිබව පිංතූර‍වලින් පෙනේ. පොලවයට සිදුවී ඇතිදෙය සොයා බලන තුරු ‍මේ ආපදාවට හේතුව දැක්වීම අපහසුය.",NEUTRAL,සමහරු ගාමිණී මහතාට මෙහි අපහාස කර ප්රතිචාර දැක්වීම ඉතා කණගාටුදායකය මට වැටහෙන අයුරින් ඔහු කණු යනුවෙන් අදහස් කර ඇත්තේ උස ගොඩනැගිළි තැනීමේදී අත්තිවාරම තැනීමට පෙර පොලව යටට බස්වන කණු පයිල් විය යුතුයි සෙලින්කෝ වැනි උස ගොඩනැගිළි තැනීමේදී ප්රමිතියට අනුව මෙය කළ යුතුයි උස ගොඩනැගිළි අතර සිදුවන විශාල භූමි චලනයන් වලින් ගොඩනැගිළිවල බිත්ති පිපිරී ඉරිතලා යෑම් සිදුවේ අවට සිදුවන තද කම්පනද උස ගොඩනැගිළි වලට ඉතා අහිතකරයි මේ ඇලවී ඇති ගොඩනැගිළ්ලේ තට්ටු දෙකක්ද පොලවට ගිලාබැස ඇතිබව පිංතූරවලින් පෙනේ පොලවයට සිදුවී ඇතිදෙය සොයා බලන තුරු මේ ආපදාවට හේතුව දැක්වීම අපහසුය,1
සත් මහලක් තනවන්න බැහැ මට ඔබේ සෙනෙහසට වැඩි මත් අඩියක් දා ගන්න බැහැ මගේ බාර් එක බිමට වඩි,NEUTRAL,සත් මහලක් තනවන්න බැහැ මට ඔබේ සෙනෙහසට වැඩි මත් අඩියක් දා ගන්න බැහැ මගේ බාර් එක බිමට වඩි,1
වරද කාගේද කියන එක හොයන්න පෙර විය හැකි අනතුරු වලක්වා ගන්න එක නේද දැන් කරන්න ඕනෑ. සමහර විට කොන්ත්‍රාත්කාරයාගේ වරද වියහැක. සමහර විට ඉන්ජිනේරුවටග් වරද වෙන්නත් පුළුවන්. ස්වාභාවික හේතුවක් වෙන්නත් පුළුවන්.,NEUTRAL,වරද කාගේද කියන එක හොයන්න පෙර විය හැකි අනතුරු වලක්වා ගන්න එක නේද දැන් කරන්න ඕනෑ සමහර විට කොන්ත්රාත්කාරයාගේ වරද වියහැක සමහර විට ඉන්ජිනේරුවටග් වරද වෙන්නත් පුළුවන් ස්වාභාවික හේතුවක් වෙන්නත් පුළුවන්,1
හරිම ආඩම්බරයි අපේකම ගැන.,POSITIVE,හරිම ආඩම්බරයි අපේකම ගැන,2
